City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Faanui,PF,2021-04-05 02:18:34,-16.4833,-151.75,82.33,75,16,14.99
163,Grindavik,IS,2021-04-05 02:18:35,63.8424,-22.4338,19.4,58,75,16.11
164,Sao Miguel Do Araguaia,BR,2021-04-05 02:18:14,-13.275,-50.1628,72.61,90,53,5.26
165,Port-Gentil,GA,2021-04-05 02:18:35,-0.7193,8.7815,81.07,79,100,7.47
166,Pimentel,PE,2021-04-05 02:18:11,-6.8367,-79.9342,71.01,83,78,3.0
167,Cabedelo,BR,2021-04-05 02:17:25,-6.9811,-34.8339,78.8,89,20,4.61
168,Chapais,CA,2021-04-05 02:18:36,49.7834,-74.8492,32.0,74,1,4.61
169,Puerto Del Rosario,ES,2021-04-05 02:18:37,28.5004,-13.8627,62.6,67,20,8.05
170,Mount Gambier,AU,2021-04-05 02:18:37,-37.8333,140.7667,66.2,52,1,9.22
171,Longyearbyen,SJ,2021-04-05 02:18:37,78.2186,15.6401,23.0,63,75,25.32
172,Grand-Santi,GF,2021-04-05 02:18:38,4.25,-54.3833,73.45,99,100,2.8
173,Puerto Leguizamo,CO,2021-04-05 02:18:38,-0.1934,-74.7819,71.11,99,100,3.87
174,Urgut,UZ,2021-04-05 02:18:39,39.4022,67.2431,42.8,75,40,4.61
175,Pinawa,CA,2021-04-05 02:18:39,50.1489,-95.8811,46.38,73,98,9.26
176,Faya,SA,2021-04-05 02:18:40,18.3851,42.4509,59.0,51,0,4.61
177,Kahului,US,2021-04-05 02:18:40,20.8947,-156.47,73.4,88,75,19.57
178,Harper,LR,2021-04-05 02:14:59,4.375,-7.7169,78.75,87,21,4.83
179,Meulaboh,ID,2021-04-05 02:18:41,4.1363,96.1285,79.7,81,100,2.51
180,Bonthe,SL,2021-04-05 02:18:28,7.5264,-12.505,78.08,92,27,5.26
181,Kieta,PG,2021-04-05 02:18:41,-6.2167,155.6333,83.77,77,100,3.18
182,Bethel,US,2021-04-05 02:18:42,41.3712,-73.414,53.6,35,1,10.6
183,Tiznit,MA,2021-04-05 02:18:42,29.5833,-9.5,54.88,85,65,3.13
184,Mawlaik,MM,2021-04-05 02:18:43,23.6333,94.4167,83.01,44,0,2.1
185,Sitka,US,2021-04-05 02:15:27,57.0531,-135.33,39.2,93,90,11.5
186,Bosobolo,CD,2021-04-05 02:18:43,4.1833,19.9,73.33,69,93,3.27
187,Pacific Grove,US,2021-04-05 02:18:01,36.6177,-121.9166,54.0,81,100,1.99
188,Bagdarin,RU,2021-04-05 02:18:44,54.4333,113.6,29.61,45,17,16.02
189,Kalmunai,LK,2021-04-05 02:18:44,7.4167,81.8167,80.55,79,58,3.49
190,Thompson,CA,2021-04-05 02:17:29,55.7435,-97.8558,39.2,38,90,4.61
191,Samsun,TR,2021-04-05 02:18:45,41.25,36.3333,64.4,45,75,11.5
192,Hoshcha,UA,2021-04-05 02:18:45,50.6003,26.6744,31.62,85,13,6.02
193,Doka,SD,2021-04-05 02:18:46,13.5167,35.7667,79.18,28,7,12.66
194,Kemi,FI,2021-04-05 02:18:46,65.8596,24.8228,33.8,93,90,9.22
195,Waipawa,NZ,2021-04-05 02:18:46,-41.4122,175.5153,66.2,77,40,29.93
196,Cap-Aux-Meules,CA,2021-04-05 02:13:53,47.3821,-61.8597,37.4,93,100,18.41
197,Husavik,IS,2021-04-05 02:18:47,66.0449,-17.3389,17.6,57,90,11.5
198,Sultanpur,IN,2021-04-05 02:18:47,26.2667,82.0667,81.61,6,5,1.59
199,Sorong,ID,2021-04-05 02:17:22,-0.8833,131.25,84.92,71,84,6.11
200,Moroto,UG,2021-04-05 02:18:48,2.5345,34.6666,67.01,82,97,2.59
201,Lavrentiya,RU,2021-04-05 02:18:48,65.5833,-171.0,5.02,74,17,2.53
202,Weyburn,CA,2021-04-05 02:15:20,49.6668,-103.8511,57.2,23,80,6.91
203,Mayo,US,2021-04-05 02:18:49,38.8876,-76.5119,59.0,47,1,11.92
204,Cazones,MX,2021-04-05 02:18:49,20.7167,-97.3167,68.94,74,5,7.09
205,Lasa,IT,2021-04-05 02:18:50,46.6166,10.7002,37.99,74,0,4.61
206,Yunhe,CN,2021-04-05 02:18:50,34.0833,119.7167,57.99,32,53,9.15
207,Goderich,CA,2021-04-05 02:15:20,43.7501,-81.7165,33.8,80,72,3.44
208,Altay,CN,2021-04-05 02:18:51,47.8667,88.1167,43.2,39,2,6.53
