City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,631,Port-Gentil,GA,81.97,moderate rain,-0.7193,8.7815,Fengshui Residence
222,632,Arlit,NE,79.7,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
223,633,Soyo,AO,78.26,light rain,-6.1349,12.3689,Hotel Mpampa
224,635,Cotonou,BJ,81.41,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
225,636,Bourail,NC,78.85,overcast clouds,-21.5667,165.4833,Motel Allamanda
226,638,Alta Floresta,BR,71.73,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
227,641,Kikwit,CD,70.81,overcast clouds,-5.041,18.8162,Guest L'Amour
228,642,Lalmohan,BD,84.87,clear sky,22.3384,90.7419,Sundorbon courier service
229,647,Port Macquarie,AU,78.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
230,648,Pontes E Lacerda,BR,71.04,scattered clouds,-15.2261,-59.3353,Hotel Bressan
232,650,Alice Springs,AU,75.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
233,656,Jertih,MY,86.0,few clouds,5.7336,102.4897,One Utama Hotel
234,659,Bandarbeyla,SO,78.01,clear sky,9.4942,50.8122,JABIR HOTEL
235,661,Corrente,BR,71.53,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
